satellite_sf,strength,log_mh_perh,log_sm_smhm,log_accreted,ratio,log_icl,f_icl
true,4,13.1506,11.1027,10.2453,0.1389,11.3812,0.6551
true,4,13.2991,11.1564,10.3538,0.1575,11.5346,0.7049
true,4,13.4473,11.2101,10.4535,0.1752,11.6785,0.7463
true,4,13.5954,11.2636,10.5325,0.1858,11.8131,0.7799
true,4,13.7433,11.3170,10.6133,0.1978,11.9444,0.8091
true,4,13.8911,11.3704,10.6815,0.2047,12.0721,0.8342
true,4,14.0386,11.4237,10.7496,0.2118,12.1893,0.8536
true,4,14.1858,11.4768,10.8002,0.2106,12.3007,0.8695
true,4,14.3328,11.5299,10.8623,0.2150,12.4120,0.8840
true,4,14.4794,11.5829,10.9126,0.2137,12.5154,0.8954
true,4,14.6256,11.6357,10.9581,0.2101,12.6135,0.9048
false,0,10.3163,7.7203,NaN,0.0000,NaN,0.0000
false,0,10.4658,8.0623,NaN,0.0000,NaN,0.0000
false,0,10.6154,8.4026,NaN,0.0000,NaN,0.0000
false,0,10.7649,8.7396,NaN,0.0000,NaN,0.0000
false,0,10.9144,9.0704,4.0848,0.0000,NaN,0.0000
false,0,11.0638,9.3901,6.3006,0.0008,NaN,0.0000
false,0,11.2133,9.6905,7.3391,0.0045,NaN,0.0000
false,0,11.3626,9.9607,8.0087,0.0112,NaN,0.0000
false,0,11.5120,10.1894,8.5075,0.0208,NaN,0.0000
false,0,11.6613,10.3709,8.9060,0.0343,NaN,0.0000
false,0,11.8105,10.5085,9.2626,0.0568,NaN,0.0000
false,0,11.9597,10.6126,9.5604,0.0887,NaN,0.0000
false,0,12.1089,10.6947,9.8351,0.1382,NaN,0.0000
false,0,12.2579,10.7638,10.0818,0.2079,NaN,0.0000
false,0,12.4069,10.8257,10.3002,0.2982,NaN,0.0000
false,0,12.5559,10.8837,10.5017,0.4150,NaN,0.0000
false,0,12.7047,10.9396,10.6888,0.5613,NaN,0.0000
false,0,12.8535,10.9945,10.8488,0.7151,NaN,0.0000
false,0,13.0021,11.0487,11.0103,0.9153,NaN,0.0000
false,0,13.1506,11.1027,11.1393,1.0880,NaN,0.0000
false,0,13.2991,11.1564,11.2699,1.2986,NaN,0.0000
false,0,13.4473,11.2101,11.3809,1.4821,NaN,0.0000
false,0,13.5954,11.2636,11.4901,1.6848,NaN,0.0000
false,0,13.7433,11.3170,11.5919,1.8831,NaN,0.0000
false,0,13.8911,11.3704,11.6855,2.0657,NaN,0.0000
false,0,14.0386,11.4237,11.7681,2.2100,NaN,0.0000
false,0,14.1858,11.4768,11.8460,2.3399,NaN,0.0000
false,0,14.3328,11.5299,11.9224,2.4690,NaN,0.0000
false,0,14.4794,11.5829,11.9875,2.5388,NaN,0.0000
false,0,14.6256,11.6357,12.0487,2.5884,NaN,0.0000
false,1,10.3163,7.7203,NaN,0.0000,6.2018,0.0294
false,1,10.4658,8.0623,NaN,0.0000,6.5284,0.0284
false,1,10.6154,8.4026,NaN,0.0000,6.8359,0.0264
false,1,10.7649,8.7396,NaN,0.0000,7.1373,0.0244
false,1,10.9144,9.0704,NaN,0.0000,7.4374,0.0228
false,1,11.0638,9.3901,5.5101,0.0001,7.7372,0.0218
false,1,11.2133,9.6905,6.9817,0.0020,8.0267,0.0212
false,1,11.3626,9.9607,7.7144,0.0057,8.3185,0.0223
false,1,11.5120,10.1894,8.2366,0.0111,8.5991,0.0250
false,1,11.6613,10.3709,8.6573,0.0193,8.8830,0.0315
false,1,11.8105,10.5085,9.0417,0.0341,9.1576,0.0427
false,1,11.9597,10.6126,9.3507,0.0547,9.4173,0.0600
false,1,12.1089,10.6947,9.6254,0.0852,9.6661,0.0856
false,1,12.2579,10.7638,9.8802,0.1307,9.9104,0.1229
false,1,12.4069,10.8257,10.0933,0.1852,10.1243,0.1659
false,1,12.5559,10.8837,10.2893,0.2545,10.3293,0.2181
false,1,12.7047,10.9396,10.4732,0.3417,10.5287,0.2797
false,1,12.8535,10.9945,10.6263,0.4284,10.7037,0.3386
false,1,13.0021,11.0487,10.7802,0.5388,10.8836,0.4061
